title,description
The Little Switzerland,The discovery of the tomb of William Tell’s son in a town in the Basque Country spurs the village's cantankerous citizens to lobby for Swiss annexation.
Tamasha,"Meeting while on vacation, Ved and Tara sense a connection but vow to keep their real identities a secret. Years later, their paths cross again."
Behind the Newsroom,"Confident and cool under pressure, top news presenter Punchalee meets her match in the conniving Dao, who'll stop at nothing to fulfill her ambitions."
The Toys That Made Us,The minds behind history's most iconic toy franchises discuss the rise – and sometimes fall – of their billion-dollar creations.
MFKZ,Mysterious goons chase teenage slacker Angelino through chaotic Dark Meat City as he uncovers secret powers that could be the key to saving the world.
The Last Word,"Suddenly a widow, a woman rekindles her thirst for life by becoming a eulogist while navigating the existential landscape of death, grief and love."
The Ballad of Lefty Brown,"After his longtime partner is assassinated, a slow-footed cowboy sets out to find his killer and uncovers a conspiracy engineered by some powerful men."
World's Busiest Cities,"From Moscow to Mexico City, three BBC journalists delve into the inner workings of some of the most burgeoning metropolises on Earth."
The Five,"Twenty years after 5-year-old Jesse disappears near his home, his DNA turns up at the scene of a woman's murder, baffling his family and the police."
B: The Beginning,"Genius investigator Keith Flick rejoins the royal police force just as serial killer ""B"" emerges. Mysterious youth Koku may be an ally, or a target."
Sudden,A car accident sends four lawyers spiraling in different directions as they scramble to rebuild their shattered lives.
Love Me As I Am,"After wealthy college boy Ömer and lower class college girl Aysem fall in love and quickly marry, they learn that love and life aren't always perfect."
Leslie Jones: Time Machine,"From trying to seduce Prince to battling sleep apnea, Leslie Jones traces her evolution as an adult in a joyfully raw and outrageous stand-up special."
The Untamed,"In a magical world of inter-clan rivalry, two soulmates face treacherous schemes and uncover a dark mystery linked to a tragic event in the past."
Ainori Love Wagon: Asian Journey,"Seven men and women board a pink bus in search of true love. On a journey through Asia with strangers, their goal is to return to Japan as a couple."
Be Here Now,"Trace the brave journey of actor Andy Whitfield, who received a devastating cancer diagnosis while starring in the series ""Spartacus: Blood and Sand."""
Jenny Slate: Stage Fright,"Jenny Slate's first stand-up special is a mix of stage time, funny stories about adulthood and conversations with family in her childhood home."
Oliver Stone's Untold History of the United States,"This documentary series offers an alternative take on modern American history, focusing on underreported events that shaped the nation's character."
Enter the Dragon,"Recruited by a British agent, Shaolin master Lee infiltrates a remote island and a brutal martial arts tournament to spy on a sinister crime lord."
Crazy About Her,"After spending a wild night together, Adri discovers the only way to see Carla again is to become a patient at the psychiatric center where she resides."
1 Mile to You,"After escaping the bus accident that killed his girlfriend, a high school student channels his grief into running, with the help of a new coach."
Scare Tactics,This ghoulish but hilarious hidden-camera show from Syfy finds mischievous friends and family members setting up unsuspecting victims for elaborate pranks that use high-quality makeup and special effects to unleash their worst fears upon them.
Gabru: Hip Hop Revolution,"Three young, aspiring Indian rappers make their way in a cutthroat music industry, dreaming of fame, stardom and ultimate hip-hop domination ."
ChuChu TV Nursery Rhymes & Kids Songs (Hindi),This educational series for tiny tots features a toe-tapping spin on nursery rhymes with upbeat tunes and a diverse set of easy-to-follow lessons.
Ari Eldjárn: Pardon My Icelandic,"In this English-language special, Icelandic comedian Ari Eldjárn pokes fun at Nordic rivalries, Hollywood's take on Thor, the whims of toddlers and more."
Kabhi Alvida Naa Kehna,"Unhappy in their respective marriages, an ex-footballer and a teacher find true love in each other, but guilt, jealousy and tragedy cloud their affair."
Filinta,"In 19th-century Istanbul, a young police officer investigates crimes and falls in love with the daughter of a wealthy merchant conspiring against him."
Great Interior Design Challenge,"In this reality series, amateur interior designers on tight budgets test their mettle transforming rooms with speed and style."
Lucky: No Time for Love,"During an uprising in Russia's St. Petersburg, teen girl Lucky meets handsome Aditya, the Indian ambassador's son, and together they flee the chaos."
Rocky,"Sylvester Stallone shot to fame as Rocky Balboa, an unknown fighter who's given a shot at fighting world champ Apollo Creed as a publicity stunt."
Mindhorn,"When a twisted killer tells the police he'll only speak to a fictional 1980s TV detective, the washed-up actor who played him takes the gig."
The Time Traveler's Wife,"Due to a genetic disorder, handsome librarian Henry involuntarily zips through time, appearing at various moments in the life of his true love."
Code 8,"In a city where super-powered people are ostracized, an earnest day laborer considers using his outlawed abilities for money to save his sick mother."
The Big Flower Fight,"Ten pairs of florists, sculptors and garden designers face off in a friendly floral fight to see who can build the biggest, boldest garden sculptures."
The Guernsey Literary and Potato Peel Pie Society,A London writer bonds with the colorful residents of Guernsey as she learns about the book club they formed during the WWII German occupation.
The Amazing Praybeyt Benjamin,"Now a celebrity, Benjie is tasked with taking care of a General's young son, who has information about a looming terrorist threat."
Dark Forces,"In search of his sister, a renegade criminal seeks answers at a sordid hotel where he encounters a sinister guest and romances a mysterious waitress."
Flint Town,"Over a two-year period, filmmakers embedded with cops in Flint, Michigan, reveal a department grappling with volatile issues in untenable conditions."
In The Deep,"With little oxygen left in their scuba tanks, two sisters are trapped in a shark cage at the bottom of the ocean while great whites circle nearby."
Savita Damodar Paranjpe,"When his wife begins to exhibit alarming behavior, a husband tries to find whether she suffers from a personality disorder or something more sinister."
2307: Winter's Dream,"In the frozen tundra of a futuristic Arizona where humans have been forced underground, a soldier hunts the bioengineered leader of a rebellion."
Toy Boy,"After seven years in a Málaga prison, a male stripper is released pending retrial and sets out to prove his lover framed him for her husband's murder."
Krish Trish and Baltiboy: Face Your Fears,"In three tales about fear, a baby elephant gets captured by a circus, two boys enter a haunted house and a parrot faces his fear of flying."
Once In A Lifetime Sessions with TLC,"One of the most successful female groups in music history, TLC performs in concert while taking a look back at their tumultuous history."
Much Ado About Nothing,Carefree college student Vicente ends up in a desperate fight for freedom when a well-connected friend falsely accuses him of a hit-and-run accident.
Goodbye My Wife,A couple’s five-year marriage is put on the line when each of their first loves comes back hoping for another shot at romance.
Stone Age,"Woody sets out to become the Stone Age's best animal trainer with a little help from his faithful pet dinosaur, Moga."
Cracked Up: The Darrell Hammond Story,"""Saturday Night Live"" star Darrell Hammond reveals the extreme abuse he suffered during childhood, a trauma that nearly destroyed his life as an adult."
Green White Green (And All the Beautiful Colours in My Mosaic of Madness),"Three young Nigerian bohemians, each from one of the country's major ethnic groups, explore the directions in which their lives could go."
The Lies Within,"After her father dies and her husband goes missing, Kim Seo-hui teams up with detective Jo Tae-sik and joins the National Assembly."
Dance Academy: The Comeback,"In this adaptation of the TV series, Tara recovers from injury and pursues a career in the U.S., where she grapples with love and professional rejection."
DreamWorks Home: For the Holidays,"Oh takes it upon himself to introduce Christmas joy to his fellow Boovs. Unfortunately, his well-meaning mission nearly destroys the city."
The Monster of Mangatiti,Real events are dramatized in the unthinkable story of a resilient teenager held prisoner by a seasoned predator on a remote farm in the 1980s.
Mr. Roosevelt,"A struggling comedian returns to Austin, Texas, to see her ailing cat and face her messy past – while staying with her ex and his new girlfriend."
One Heart: The A.R. Rahman Concert Film,"In this concert film, Indian musical maestro A.R. Rahman performs 15 of his most popular songs and reveals himself through interviews and clips."
Aziz Ansari Live at Madison Square Garden,"Stand-up comedian and TV star Aziz Ansari (""Parks and Recreation"") delivers his sharp-witted take on immigrants, relationships and the food industry."
The Trial,"The murder of a teen girl impacts a public prosecutor linked to the victim, a lawyer seeking a career-making case and a suspect who says she's innocent."
Taramani,"A traditional man and an independent woman share a connection, but they must learn to navigate their vastly different experiences and expectations."
Pocoyo Special Sports,"Everyone is getting excited for the games. Pocoyo plays baseball and golf, and races with his friends. Ready, set, go!"
The Search,"When a girl vanishes from a suburb near Mexico City, the personal goals of some involved in the case muddy the search. Based on a true story."
West Coast Customs,"West Coast Customs, a mecca for well-heeled car lovers, stars as their team creates some of the most luxurious, outrageous vehicles on the planet."
You Carry Me,"A soap opera producer, director and makeup artist each face wrenching family turmoil, from teen rebellion and marital infidelity to Alzheimer's."
Ordinary World,A suburban dad having a midlife crisis throws a lavish 40th birthday party to celebrate his punk-rock past but discovers it's not easy going back.
Bioscope,"Inspired by classic and contemporary literature, four renowned Marathi directors create four individual stories in this anthology of short films."
Crime Stories: India Detectives,Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.
I'm No Longer Here,"A terrible misunderstanding with a local gang sends 17-year-old Ulises, leader of a group hooked on cumbia music, across the border to save his life."
Night on Earth: Shot in the Dark,"This look behind the scenes shows how worldwide camera crews climbed, dived and froze to capture the documentary's groundbreaking night footage."
Bottom of the World,"En route to a fresh start in Los Angeles, young couple Alex and Scarlett stop over in a sleepy Southwestern town that loosens their grip on reality."
Real Steel,A struggling fighter-turned-promoter reconnects with his estranged son to convert an old-generation robot into a mighty World Robot Boxing contender.
Dany Boon: Des Hauts De France,"In an eclectic one-man show, French superstar Dany Boon reflects on his homeland, his first comedy gig and the challenges of parenting hostile teens."
Until Midnight,"After returning home from a work trip, a newlywed must fight off a masked intruder before his wife returns at midnight."
Hairspray,"In 1962, ambitious plus-size teen Tracy Turnblad tries to integrate a racially divided Baltimore one Watusi at a time."
Peace Haven,Complications around the cremation of their deceased friend inspire three septuagenarian friends to build their own mortuary.
Sitting in Limbo,"After living 50 years in the UK, Anthony Bryan is wrongfully detained by the government and threatened with deportation. Based on true events."
Max Rose,An aging jazz musician learns after his wife's death that she may have been unfaithful to him decades before.
Brews Brothers,"Two rival brothers must work together to keep their brewery in business, but shenanigans keep foaming up their company with chaos."
The Runaways,"This biopic charts the rise of the rebellious California girls who formed the 1970s rock group the Runaways, paving the way for future girl musicians."
Camelia la Texana,"Inspired by the famous song ""Contrabando y Traición,"" Camelia, a beautiful girl from San Antonio, kills her lover and becomes a legendary drug runner."
Tuca & Bertie,Free-spirited toucan Tuca and self-doubting song thrush Bertie are best friends – and birds – who guide each other through life's ups and downs.
Masha and the Bear,"Lively little Masha lives near the forest, where she has many wonderful adventures with her best friend, a bear who used to be in the circus."
Chilling Adventures of Sabrina,"Magic and mischief collide as half-human, half-witch Sabrina navigates between two worlds: mortal teen life and her family's legacy, the Church of Night."
Heneral Luna,Flashbacks reveal Gen. Antonio Luna's tireless fight for Filipino independence from the U.S. and his leadership in the Philippine-American War in 1899.
Perfume Imaginary Museum “Time Warp”,"This visually stunning special performance was the highlight of Perfume’s ""P.O.P"" Festival — the J-pop trio’s 20th anniversary online celebration."
Indiana Jones and the Last Crusade,"Accompanied by his father, Indiana Jones sets off on his third adventure to explore the cradle of civilization on a perilous hunt for the Holy Grail."
Total Recall,"After getting a memory implant, working stiff Douglas Quaid discovers he might actually be a secret agent embroiled in a violent insurrection on Mars."
Children of the Whales,"As a magic wielder, young archivist Chakuro knows his time is short, but everything changes when a girl from the outside appears on his island."
The 8th Night,"With prayer beads in one hand and an ax in the other, a monk hunts down a millennia-old spirit that's possessing humans and unleashing hell on Earth."
Christmas Break-In,"Stranded at school before holiday break, a precocious girl gets into the spirit of saving when a trio of robbers trespass and hold the janitor hostage."
We Are Family,A divorced mother of three children runs a happy household – until her former husband brings his new career-oriented girlfriend into the picture.
Mitt,The real Mitt Romney is revealed in this documentary that goes beyond the sound bites with unprecedented access to his 2012 presidential campaign.
Crime Diaries: The Candidate,"In 1994, Mexican presidential candidate Luis Donaldo Colosio's assassination sends his dying widow racing to uncover who did it. Based on true events."
The House of Flowers Presents: The Funeral,The de la Mora siblings publicly mourn the death of their mother amid multiple surprises and mishaps at Virginia's funeral.
The Meaning of Monty Python,"Five Pythons reflect on their creative process, politics, television and the making of their award-winning final film, ""The Meaning of Life."""
Sofía Niño de Rivera: Exposed,Self-deprecating comic Sofía Niño de Rivera puts her sarcasm on full display in this stand-up special filmed live at Guadalajara's Degollado Theater.
"Michael Bolton's Big, Sexy Valentine's Day Special","After Santa tells him he needs 75,000 new babies by Christmas to meet toy supply, Michael Bolton hosts a telethon to inspire the world to make love."
Extreme Engagement,An engaged couple travels the world for a year to explore marriage customs in diverse cultures. Will the journey bring them closer or tear them apart?
